i,j,conditioning_set,conditioning_bins,true_edge,population_ci,tv_lower_bound,model
1,7,6,2,0,1,9.54097911787244e-18,Chain strong
1,7,8,2,0,0,0.000160887408479623,Chain strong
1,8,[],1,0,0,0.000142885069929412,Chain strong
1,8,2,2,0,1,6.93889390390723e-18,Chain strong
1,8,3,2,0,1,1.47451495458029e-17,Chain strong
1,8,4,2,0,1,1.82145964977565e-17,Chain strong
1,8,5,2,0,1,1.38777878078145e-17,Chain strong
1,8,6,2,0,1,1.56125112837913e-17,Chain strong
1,8,7,2,0,1,7.80625564189563e-18,Chain strong
2,3,[],1,1,0,0.047493620281903,Chain strong
2,3,1,2,1,0,0.020318691802304,Chain strong
2,3,4,2,1,0,0.020318691802304,Chain strong
2,3,5,2,1,0,0.023251922816127,Chain strong
2,3,6,2,1,0,0.0236753676059868,Chain strong
2,3,7,2,1,0,0.0237364966098786,Chain strong
2,3,8,2,1,0,0.023745321267086,Chain strong
2,4,[],1,0,0,0.0180451517398528,Chain strong
2,4,1,2,0,0,0.00772006586466914,Chain strong
2,4,3,2,0,1,7.80625564189563e-18,Chain strong
2,4,5,2,0,0,0.00772006586466914,Chain strong
2,4,6,2,0,0,0.00883454394442604,Chain strong
2,4,7,2,0,0,0.00899543135290566,Chain strong
2,4,8,2,0,0,0.00901865725449803,Chain strong
2,5,[],1,0,0,0.0068562366772951,Chain strong
2,5,1,2,0,0,0.00293323101382302,Chain strong
2,5,3,2,0,1,3.46944695195361e-18,Chain strong
2,5,4,2,0,1,9.54097911787244e-18,Chain strong
2,5,6,2,0,0,0.00293323101382302,Chain strong
2,5,7,2,0,0,0.00335667580368285,Chain strong
2,5,8,2,0,0,0.00341780480757462,Chain strong
2,6,[],1,0,0,0.00260502001051447,Chain strong
2,6,1,2,0,0,0.0011144780797569,Chain strong
2,6,3,2,0,1,6.07153216591882e-18,Chain strong
2,6,4,2,0,1,7.80625564189563e-18,Chain strong
2,6,5,2,0,1,1.21430643318376e-17,Chain strong
2,6,7,2,0,0,0.0011144780797569,Chain strong
2,6,8,2,0,0,0.00127536548823651,Chain strong
2,7,[],1,0,0,0.000989774649649076,Chain strong
2,7,1,2,0,0,0.000423444789859831,Chain strong
2,7,3,2,0,1,5.20417042793042e-18,Chain strong
2,7,4,2,0,1,5.20417042793042e-18,Chain strong
2,7,5,2,0,1,5.20417042793042e-18,Chain strong
2,7,6,2,0,1,1.30104260698261e-17,Chain strong
2,7,8,2,0,0,0.000423444789859819,Chain strong
2,8,[],1,0,0,0.000376063851000703,Chain strong
